link,upload,duration,views,likes,comments,resend,saves,description
https://www.tiktok.com/@ness_opo/video/7250477765198269701,2023-06-30 16:56:47,62,735000,82800,282,1033,17000,#🎧 #headphones #aveeplayer #funk #brazilian #foryou #typ #อย่าปิดการมองเห็น #ฟีด #ฟีดดดดดดดดดด🥺 #slowed #bassboosong #musica #phonk #viral #tending #sdx_bass #top #brazil #TikTok @TikTok 
https://www.tiktok.com/@ness_opo/video/7240103078593121541,2023-06-02 17:57:42,23,421700,33700,307,1128,5443,🎧💀😈#phonk #TikTok #fyp #parati #phonk_music #foryoupage #aveeplayer @tiktok 
https://www.tiktok.com/@ness_opo/video/7242939914210299141,2023-06-10 09:26:05,33,1600000,129100,902,3559,20600,🎧😈👍#best #song #bassboosted #speedsongs #music #songs #top #brazil #sdx_bass #tending #viral #foryou #aveeplayer #phonk #headphones #TikTok #slowed #musica #funk #brazilian @TikTok en español @TikTok 
https://www.tiktok.com/@ness_opo/video/7304070378995928326,2023-11-22 03:03:33,61,4309,106,2,0,13,#Nest🎧🎵 #🎧 #ness_opo #aveeplay #splinterwolf #aot 
https://www.tiktok.com/@ness_opo/video/7303693617539878150,2023-11-21 02:41:30,65,2944,235,1,2,31,#Nest🎧🎵 #🎧 #ness_opo #aveeplay #aot #splinterwolf 
https://www.tiktok.com/@ness_opo/video/7303315187111644421,2023-11-20 02:13:01,57,2627,45,0,1,1,#Nest🎧🎵 #🎧 #ness_opo #aveeplay #aot #splinterwolf 
https://www.tiktok.com/@ness_opo/video/7303161840991849733,2023-11-19 16:17:55,65,48,2,0,0,0,#Nest🎧🎵 #🎧 #ness_opo #aveeplay #aot #splinterwolf 
https://www.tiktok.com/@ness_opo/video/7302981814233074949,2023-11-19 04:39:20,60,2079,161,5,1,30,#Nest🎧🎵 #🎧 #ness_opo #aveeplay #aot 
https://www.tiktok.com/@ness_opo/video/7302795154736319749,2023-11-18 16:34:59,29,963,153,1,0,20,#Nest🎧🎵 #🎧 #ness_opo #aot #aveeplay 
https://www.tiktok.com/@ness_opo/video/7302360830236970245,2023-11-17 12:29:35,51,330,44,1,0,5,
https://www.tiktok.com/@ness_opo/video/7302297325207031046,2023-11-17 08:23:09,65,115,8,0,0,0,🎧🎧😈😈#Nest🎧🎵 #🎧 #ness_opo #aot #aveeplay 
https://www.tiktok.com/@ness_opo/video/7302078119869975813,2023-11-16 18:12:31,60,2232,143,1,1,17,#fyp #aveeplay #🎧 #ness_opo #Nest🎧🎵 #aot 
https://www.tiktok.com/@ness_opo/video/7301278729609776389,2023-11-14 14:30:29,56,1301,91,1,0,11,
https://www.tiktok.com/@ness_opo/video/7300934317977472262,2023-11-13 16:14:00,56,407,51,0,0,6,😈😈😈😈#Nest🎧🎵 #ness_opo #🎧 #aveeplay #fyp 
https://www.tiktok.com/@ness_opo/video/7300565037192662277,2023-11-12 16:20:59,54,868,64,4,0,6,เพลงلحن الوفاء والاخلاص@P. #Nest🎧🎵 #ness_opo #🎧 #aveeplay #fyp 
https://www.tiktok.com/@ness_opo/video/7300238327893200133,2023-11-11 19:13:11,60,4392,254,1,3,27,😈😈😈😈😈#fyp #aveeplay #🎧 #ness_opo #Nest🎧🎵 
https://www.tiktok.com/@ness_opo/video/7299879671129263366,2023-11-10 20:01:26,52,1583,227,1,0,28,😈😈😈🎧🎧#Nest🎧🎵 #ness_opo #🎧 #aveeplay #fyp @P. 
https://www.tiktok.com/@ness_opo/video/7299610115714387206,2023-11-10 02:35:27,60,5283,352,1,1,70,😈😈😈#fyp #aveeplay #🎧 #ness_opo#Nest🎧🎵 
https://www.tiktok.com/@ness_opo/video/7299246263080357125,2023-11-09 03:03:29,61,4014,241,0,1,25,#aveeplay #fyp @P. 
https://www.tiktok.com/@ness_opo/video/7298879141166763270,2023-11-08 03:18:53,89,5204,312,3,1,49,🎵🎵#ost #aot #fyp #aveeplay
https://www.tiktok.com/@ness_opo/video/7298742955307797765,2023-11-07 18:30:23,60,1015,101,2,0,8,#splinterwolf #aveeplay #fyp #aot #ost 
https://www.tiktok.com/@ness_opo/video/7298690035954601222,2023-11-07 15:05:02,106,8152,364,6,3,74,😈😈😈😈@painozilisg #splinterwolf #aveeplay #fyp #aot #ost 
https://www.tiktok.com/@ness_opo/video/7298497480293993733,2023-11-07 02:37:51,40,610,71,1,0,10,
https://www.tiktok.com/@ness_opo/video/7298311590363827462,2023-11-06 14:36:28,74,1319,87,0,0,12,
https://www.tiktok.com/@ness_opo/video/7297642334835969286,2023-11-04 19:19:25,70,46500,4113,4,8,800,#🎧 #NesS🎧🎵 #อย่าปิดการมองเห็น #headphones #bassboosong #aveeplayer #ness_opo #phonk #slowed #top 
https://www.tiktok.com/@ness_opo/video/7296886250449964294,2023-11-02 18:25:25,66,4441,310,1,1,39,#top #slowed #phonk #ness_opo #aveeplayer #bassboosong #headphones #อย่าปิดการมองเห็น #NesS🎧🎵 #🎧 
https://www.tiktok.com/@ness_opo/video/7295310559598218502,2023-10-29 12:30:57,61,2764,166,1,3,18,#🎧 #NesS🎧🎵 #อย่าปิดการมองเห็น #headphones #bassboosong #aveeplayer #ness_opo #phonk #slowed #top 
https://www.tiktok.com/@ness_opo/video/7295053825969229061,2023-10-28 19:54:40,60,4865,384,1,0,41,#🎧 #NesS🎧🎵 #อย่าปิดการมองเห็น #headphones #bassboosong #aveeplayer #ness_opo #phonk #slowed #top 
https://www.tiktok.com/@ness_opo/video/7294806218915400966,2023-10-28 03:53:52,55,916,92,2,0,13,#🎧 #NesS🎧🎵 #อย่าปิดการมองเห็น #headphones #bassboosong #aveeplayer #ness_opo #phonk #slowed #top 
https://www.tiktok.com/@ness_opo/video/7294566778368167174,2023-10-27 12:24:42,48,5075,139,3,0,17,#top ##slowed #phonk #ness_opo #aveeplayer #bassboosong #headphones #อย่าปิดการมองเห็น #NesS🎧🎵 #🎧 
https://www.tiktok.com/@ness_opo/video/7293304580392094981,2023-10-24 02:46:43,65,2610,245,0,0,31,#NesS🎧🎵 #🎧 #ness_opo #bassboosong #aveeplayer #phonk #slowed #top 
https://www.tiktok.com/@ness_opo/video/7293116029931097349,2023-10-23 14:35:03,60,2549,206,0,0,20,💀💀💀💀#🎧 #ness_opo #NesS🎧🎵 #bassboosong #bassboosong #aveeplayer #phonk #slowed #top #headphones #อย่าปิดการมองเห็น 
https://www.tiktok.com/@ness_opo/video/7291663556028730629,2023-10-19 16:38:42,60,4796,302,2,3,46,#อย่าปิดการมองเห็น #headphones #top #slowed #slowed #phonk #aveeplayer #bassboosong #ness_opo #NesS🎧🎵 #🎧 
https://www.tiktok.com/@ness_opo/video/7291531286026407174,2023-10-19 08:05:26,23,5160,340,2,1,55,👿👿👿#🎧 #NesS🎧🎵 #ness_opo #bassboosong #aveeplayer #phonk #slowed #top #headphones ##อย่าปิดการมองเห็น 
https://www.tiktok.com/@ness_opo/video/7291296337134652677,2023-10-18 16:53:41,64,434,56,1,0,5,#🎧 #NesS🎧🎵 #ness_opo #bassboosong #aveeplayer #phonk #slowed #top #headphones #อย่าปิดการมองเห็น 
https://www.tiktok.com/@ness_opo/video/7291090047896440069,2023-10-18 03:33:12,67,1593,172,1,0,20,#🎧 #NesS🎧🎵 #ness_opo #bassboosong #aveeplayer #phonk  #slowed #top #headphones #อย่าปิดการมองเห็น 
https://www.tiktok.com/@ness_opo/video/7290925728290409734,2023-10-17 16:55:33,31,3003,188,0,0,31,#🎧 #NesS🎧🎵 #ness_opo #bassboosong #aveeplayer #headphones #อย่าปิดการมองเห็น #slowed #phonk #top 
https://www.tiktok.com/@ness_opo/video/7290772579789327622,2023-10-17 07:01:17,25,5208,125,2,2,18,
https://www.tiktok.com/@ness_opo/video/7290715308426349830,2023-10-17 03:19:02,25,2592,197,0,0,29,💀💀💀💀#🎧 #NesS🎧🎵 #ness_opo #bassboosong #aveeplayer #headphones #อย่าปิดการมองเห็น#slowed ##phonk #top 
https://www.tiktok.com/@ness_opo/video/7290537062976032006,2023-10-16 15:47:19,60,8946,745,8,2,121,#🎧 #NesS🎧🎵 #ness_opo #bassboosong #aveeplayer #headphones #อย่าปิดการมองเห็น #slowed #phonk #top 
https://www.tiktok.com/@ness_opo/video/7290345196506598661,2023-10-16 03:22:49,60,5253,267,0,1,31,💀💀💀😈#🎧 #NesS🎧🎵 #ness_opo #bassboosong #aveeplayer #headphones #อย่าปิดการมองเห็น #slowed #phonk #top 
https://www.tiktok.com/@ness_opo/video/7290193491781487878,2023-10-15 17:34:05,72,7460,577,2,0,93,#🎧 #NesS🎧🎵 #ness_opo #bassboosong #aveeplayer #headphones #อย่าปิดการมองเห็น #slowed #phonk #top 
https://www.tiktok.com/@ness_opo/video/7290103633478225158,2023-10-15 11:45:25,15,5220,175,1,0,25,เพิ่มเสียงให้สุดดดดด!!!!!#top #phonk #slowed #อย่าปิดการมองเห็น #aveeplayer #headphones #aveeplayer #bassboosong #ness_opo #NesS🎧🎵 #NesS🎧🎵 #🎧 
https://www.tiktok.com/@ness_opo/video/7289848603193920774,2023-10-14 19:15:45,60,6426,428,4,2,56,#🎧 #NesS🎧🎵 #ness_opo #bassboosong #headphones #aveeplayer #อย่าปิดการมองเห็น #slowed #phonk #top 
